,algorithm,n_trees,F,train_acc,test_acc,feature_importance
33,decision forest,25,0.5,1.0,0.704,"[('Al', 0.182), ('Ba', 0.171), ('Mg', 0.153), ('Na', 0.142), ('Ca', 0.119), ('Si', 0.094), ('RI', 0.067), ('K', 0.063), ('Fe', 0.008)]"
34,decision forest,25,0.75,1.0,0.685,"[('Al', 0.28), ('Ba', 0.217), ('Mg', 0.121), ('Si', 0.104), ('Na', 0.086), ('Ca', 0.078), ('RI', 0.057), ('K', 0.053), ('Fe', 0.003)]"
35,decision forest,25,FMethodDF.RUNIF,1.0,0.648,"[('Al', 0.22), ('Ba', 0.188), ('Mg', 0.169), ('Na', 0.139), ('Ca', 0.099), ('Si', 0.083), ('RI', 0.069), ('K', 0.03), ('Fe', 0.003)]"
36,decision forest,50,0.25,1.0,0.63,"[('Al', 0.161), ('Ca', 0.143), ('Ba', 0.123), ('RI', 0.122), ('Mg', 0.12), ('Si', 0.12), ('Na', 0.117), ('K', 0.062), ('Fe', 0.031)]"
37,decision forest,50,0.5,1.0,0.704,"[('Al', 0.222), ('Ba', 0.193), ('Mg', 0.17), ('Ca', 0.104), ('Si', 0.092), ('Na', 0.085), ('RI', 0.081), ('K', 0.049), ('Fe', 0.005)]"
38,decision forest,50,0.75,1.0,0.667,"[('Al', 0.302), ('Ba', 0.232), ('Mg', 0.133), ('Si', 0.099), ('Ca', 0.075), ('Na', 0.067), ('RI', 0.05), ('K', 0.039), ('Fe', 0.003)]"
39,decision forest,50,FMethodDF.RUNIF,1.0,0.648,"[('Al', 0.244), ('Ba', 0.187), ('Ca', 0.157), ('Mg', 0.132), ('Si', 0.084), ('K', 0.07), ('Na', 0.064), ('RI', 0.058), ('Fe', 0.004)]"
40,decision forest,75,0.25,1.0,0.611,"[('Ca', 0.188), ('Al', 0.139), ('Na', 0.122), ('RI', 0.121), ('Si', 0.113), ('Mg', 0.095), ('K', 0.095), ('Ba', 0.09), ('Fe', 0.037)]"
41,decision forest,75,0.5,1.0,0.667,"[('Al', 0.192), ('Ba', 0.166), ('Mg', 0.144), ('Ca', 0.126), ('RI', 0.119), ('Si', 0.089), ('Na', 0.088), ('K', 0.067), ('Fe', 0.009)]"
42,decision forest,75,0.75,1.0,0.704,"[('Al', 0.277), ('Ba', 0.209), ('Mg', 0.145), ('Si', 0.097), ('Ca', 0.08), ('Na', 0.078), ('RI', 0.066), ('K', 0.042), ('Fe', 0.004)]"
43,decision forest,75,FMethodDF.RUNIF,1.0,0.63,"[('Al', 0.207), ('Ba', 0.203), ('Mg', 0.145), ('Ca', 0.126), ('RI', 0.102), ('Si', 0.084), ('Na', 0.077), ('K', 0.052), ('Fe', 0.004)]"
44,decision forest,100,0.25,1.0,0.611,"[('Ca', 0.165), ('Al', 0.156), ('RI', 0.137), ('Na', 0.119), ('Si', 0.115), ('K', 0.1), ('Mg', 0.09), ('Ba', 0.073), ('Fe', 0.046)]"
45,decision forest,100,0.5,1.0,0.667,"[('Al', 0.21), ('Ba', 0.148), ('Mg', 0.146), ('RI', 0.122), ('Ca', 0.112), ('Na', 0.093), ('Si', 0.085), ('K', 0.073), ('Fe', 0.01)]"
46,decision forest,100,0.75,1.0,0.722,"[('Al', 0.27), ('Ba', 0.206), ('Mg', 0.145), ('Si', 0.09), ('Na', 0.086), ('Ca', 0.083), ('RI', 0.075), ('K', 0.041), ('Fe', 0.005)]"
47,decision forest,100,FMethodDF.RUNIF,1.0,0.704,"[('Al', 0.203), ('Ba', 0.167), ('Ca', 0.123), ('Mg', 0.117), ('Na', 0.11), ('Si', 0.098), ('RI', 0.089), ('K', 0.063), ('Fe', 0.031)]"
