,algorithm,n_trees,F,train_acc,test_acc,feature_importance
30,decision forest,10,0.75,1.0,0.633,"[('alcohol', 0.503), ('volatile acidity', 0.109), ('free sulfur dioxide', 0.096), ('density', 0.064), ('pH', 0.043), ('chlorides', 0.042), ('citric acid', 0.037), ('residual sugar', 0.03), ('total sulfur dioxide', 0.028), ('sulphates', 0.025), ('fixed acidity', 0.024)]"
31,decision forest,10,FMethodDF.RUNIF,1.0,0.612,"[('alcohol', 0.293), ('density', 0.162), ('chlorides', 0.129), ('free sulfur dioxide', 0.118), ('residual sugar', 0.111), ('volatile acidity', 0.079), ('pH', 0.041), ('sulphates', 0.021), ('total sulfur dioxide', 0.018), ('fixed acidity', 0.017), ('citric acid', 0.011)]"
32,decision forest,25,0.25,0.981,0.581,"[('density', 0.173), ('residual sugar', 0.131), ('free sulfur dioxide', 0.126), ('chlorides', 0.106), ('volatile acidity', 0.091), ('total sulfur dioxide', 0.071), ('sulphates', 0.065), ('fixed acidity', 0.062), ('citric acid', 0.062), ('alcohol', 0.057), ('pH', 0.055)]"
33,decision forest,25,0.5,1.0,0.646,"[('alcohol', 0.28), ('volatile acidity', 0.117), ('density', 0.095), ('free sulfur dioxide', 0.094), ('chlorides', 0.081), ('residual sugar', 0.073), ('citric acid', 0.066), ('pH', 0.055), ('total sulfur dioxide', 0.054), ('sulphates', 0.047), ('fixed acidity', 0.039)]"
34,decision forest,25,0.75,1.0,0.636,"[('alcohol', 0.44), ('volatile acidity', 0.119), ('free sulfur dioxide', 0.089), ('density', 0.071), ('chlorides', 0.067), ('residual sugar', 0.044), ('citric acid', 0.038), ('sulphates', 0.036), ('total sulfur dioxide', 0.035), ('pH', 0.033), ('fixed acidity', 0.027)]"
35,decision forest,25,FMethodDF.RUNIF,1.0,0.642,"[('alcohol', 0.265), ('volatile acidity', 0.129), ('density', 0.125), ('chlorides', 0.122), ('free sulfur dioxide', 0.109), ('residual sugar', 0.076), ('pH', 0.048), ('total sulfur dioxide', 0.035), ('sulphates', 0.033), ('citric acid', 0.03), ('fixed acidity', 0.029)]"
36,decision forest,50,0.25,0.984,0.606,"[('density', 0.13), ('free sulfur dioxide', 0.114), ('chlorides', 0.112), ('citric acid', 0.109), ('total sulfur dioxide', 0.103), ('residual sugar', 0.09), ('volatile acidity', 0.089), ('alcohol', 0.085), ('fixed acidity', 0.071), ('sulphates', 0.051), ('pH', 0.048)]"
37,decision forest,50,0.5,1.0,0.659,"[('alcohol', 0.258), ('density', 0.106), ('free sulfur dioxide', 0.101), ('volatile acidity', 0.099), ('chlorides', 0.096), ('citric acid', 0.08), ('total sulfur dioxide', 0.069), ('residual sugar', 0.063), ('pH', 0.048), ('sulphates', 0.04), ('fixed acidity', 0.039)]"
38,decision forest,50,0.75,1.0,0.651,"[('alcohol', 0.402), ('density', 0.109), ('volatile acidity', 0.106), ('free sulfur dioxide', 0.1), ('chlorides', 0.063), ('residual sugar', 0.053), ('citric acid', 0.043), ('total sulfur dioxide', 0.034), ('pH', 0.034), ('sulphates', 0.029), ('fixed acidity', 0.027)]"
39,decision forest,50,FMethodDF.RUNIF,1.0,0.66,"[('alcohol', 0.221), ('volatile acidity', 0.122), ('free sulfur dioxide', 0.114), ('density', 0.108), ('total sulfur dioxide', 0.093), ('chlorides', 0.088), ('citric acid', 0.077), ('residual sugar', 0.063), ('sulphates', 0.046), ('pH', 0.034), ('fixed acidity', 0.033)]"
40,decision forest,75,0.25,0.987,0.604,"[('free sulfur dioxide', 0.123), ('chlorides', 0.114), ('total sulfur dioxide', 0.113), ('density', 0.105), ('volatile acidity', 0.102), ('residual sugar', 0.093), ('alcohol', 0.086), ('citric acid', 0.081), ('fixed acidity', 0.07), ('sulphates', 0.061), ('pH', 0.053)]"
41,decision forest,75,0.5,1.0,0.656,"[('alcohol', 0.241), ('free sulfur dioxide', 0.119), ('chlorides', 0.118), ('volatile acidity', 0.105), ('density', 0.091), ('total sulfur dioxide', 0.079), ('citric acid', 0.066), ('residual sugar', 0.057), ('pH', 0.049), ('fixed acidity', 0.038), ('sulphates', 0.038)]"
42,decision forest,75,0.75,1.0,0.656,"[('alcohol', 0.386), ('free sulfur dioxide', 0.111), ('volatile acidity', 0.111), ('density', 0.104), ('chlorides', 0.072), ('residual sugar', 0.052), ('citric acid', 0.038), ('pH', 0.035), ('total sulfur dioxide', 0.035), ('sulphates', 0.028), ('fixed acidity', 0.028)]"
43,decision forest,75,FMethodDF.RUNIF,1.0,0.656,"[('alcohol', 0.269), ('free sulfur dioxide', 0.142), ('volatile acidity', 0.112), ('density', 0.101), ('residual sugar', 0.077), ('chlorides', 0.075), ('total sulfur dioxide', 0.056), ('pH', 0.055), ('citric acid', 0.047), ('fixed acidity', 0.034), ('sulphates', 0.031)]"
44,decision forest,100,0.25,0.99,0.613,"[('density', 0.128), ('chlorides', 0.11), ('free sulfur dioxide', 0.109), ('alcohol', 0.107), ('total sulfur dioxide', 0.105), ('volatile acidity', 0.099), ('residual sugar', 0.086), ('citric acid', 0.075), ('fixed acidity', 0.064), ('pH', 0.06), ('sulphates', 0.057)]"
45,decision forest,100,0.5,1.0,0.66,"[('alcohol', 0.25), ('density', 0.115), ('free sulfur dioxide', 0.114), ('chlorides', 0.112), ('volatile acidity', 0.103), ('total sulfur dioxide', 0.067), ('citric acid', 0.063), ('residual sugar', 0.056), ('pH', 0.046), ('fixed acidity', 0.039), ('sulphates', 0.035)]"
46,decision forest,100,0.75,1.0,0.654,"[('alcohol', 0.4), ('volatile acidity', 0.112), ('free sulfur dioxide', 0.108), ('density', 0.105), ('chlorides', 0.064), ('residual sugar', 0.052), ('pH', 0.037), ('citric acid', 0.036), ('total sulfur dioxide', 0.033), ('fixed acidity', 0.028), ('sulphates', 0.027)]"
47,decision forest,100,FMethodDF.RUNIF,1.0,0.66,"[('alcohol', 0.299), ('free sulfur dioxide', 0.115), ('volatile acidity', 0.099), ('density', 0.083), ('residual sugar', 0.076), ('total sulfur dioxide', 0.073), ('chlorides', 0.067), ('citric acid', 0.062), ('fixed acidity', 0.052), ('pH', 0.041), ('sulphates', 0.033)]"
